src_ip,dest_ip,proto,src_port,dest_port,alert.severity
1.0,1.0,1.0,0.7097971263398403,1.0,0.0
1.0,1.0,1.0,0.4622544584668701,1.0,0.0
1.0,1.0,1.0,0.6999831321975679,1.0,0.0
1.0,1.0,1.0,0.6348734148099305,1.0,0.0
1.0,1.0,1.0,0.7751675279468817,1.0,0.0
1.0,1.0,1.0,0.8008832594728045,1.0,0.0
1.0,1.0,1.0,0.838329780871912,1.0,0.0
1.0,1.0,1.0,0.4932758805759588,1.0,0.0
1.0,1.0,1.0,0.36431386380016256,1.0,0.0
1.0,1.0,1.0,0.4906690383819177,1.0,0.0
1.0,1.0,1.0,0.5604404029871345,1.0,0.0
1.0,1.0,1.0,0.654654746752948,1.0,0.0
1.0,1.0,1.0,0.42459325594590036,1.0,0.0
1.0,1.0,1.0,0.7470443009829328,1.0,0.0
1.0,1.0,1.0,0.8868477144127704,1.0,0.0
1.0,1.0,1.0,0.6777943048165244,1.0,0.0
1.0,1.0,1.0,0.2773833438118167,1.0,0.0
1.0,1.0,1.0,0.6302271019581985,1.0,0.0
1.0,1.0,1.0,0.6169168724027417,1.0,0.0
1.0,1.0,1.0,0.5549813687454955,1.0,0.0
1.0,1.0,1.0,0.5358134114363701,1.0,0.0
1.0,1.0,1.0,0.47231380246269916,1.0,0.0
1.0,1.0,1.0,0.3411896401024336,1.0,0.0
1.0,1.0,1.0,0.5439559597012865,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8751629276371276,1.0,0.0
1.0,1.0,1.0,0.25697330286905984,1.0,0.0
1.0,1.0,1.0,0.2500268351402328,1.0,0.0
1.0,1.0,1.0,0.3336911352031037,1.0,0.0
1.0,1.0,1.0,0.8160489472957846,1.0,0.0
1.0,1.0,1.0,0.8276570622421909,1.0,0.0
1.0,1.0,1.0,0.6055541073098922,1.0,0.0
1.0,1.0,1.0,0.4534832012022143,1.0,0.0
1.0,1.0,1.0,0.42298314753193383,1.0,0.0
1.0,1.0,1.0,0.9742689341082299,1.0,0.0
1.0,1.0,1.0,0.7554321991014061,1.0,0.0
1.0,1.0,1.0,0.859920567984911,1.0,0.0
1.0,1.0,1.0,0.9458696885590296,1.0,0.0
1.0,1.0,1.0,0.2585220738196372,1.0,0.0
1.0,1.0,1.0,0.3114256359928235,1.0,0.0
1.0,1.0,1.0,0.8627880943983561,1.0,0.0
1.0,1.0,1.0,0.9988345881956052,1.0,0.0
1.0,1.0,1.0,0.9817674390075598,1.0,0.0
1.0,1.0,1.0,0.9154463067179857,1.0,0.0
1.0,1.0,1.0,0.6756474935979022,1.0,0.0
1.0,1.0,1.0,0.5234999156609879,1.0,0.0
1.0,1.0,1.0,0.9874871574686029,1.0,0.0
1.0,1.0,1.0,0.630809807860396,1.0,0.0
1.0,1.0,1.0,0.3518930274638492,1.0,0.0
1.0,1.0,1.0,0.6669375737966357,1.0,0.0
1.0,1.0,1.0,0.565470074985049,1.0,0.0
1.0,1.0,1.0,0.5321484979988652,1.0,0.0
